mean,std,max,peak_to_peak,rms,Label
0.015579,0.43901,0.795916,0.748664,0.439286,1
0.017504,0.437568,0.853141,0.879335,0.437918,1
0.014927,0.441476,0.828718,0.837009,0.441728,1
0.0185,0.440927,0.892738,0.972505,0.441315,1
0.014503,0.440144,0.865031,0.957837,0.440383,1
0.013201,0.44049,0.832635,0.87462,0.440688,1
0.015007,0.441404,0.838878,0.812908,0.441659,1
0.003612,0.425175,0.656645,0.09473,0.425191,1
0.0032,0.425446,0.651285,0.062037,0.425458,1
0.003057,0.425419,0.652456,0.068637,0.42543,1
0.003702,0.424496,0.64595,0.060874,0.424512,1
0.017289,0.445824,0.831679,0.861617,0.446159,0
0.002833,0.424333,0.665069,0.086506,0.424342,1
0.015438,0.439171,0.815731,0.827466,0.439443,0
0.003043,0.424513,0.664057,0.063753,0.424524,1
0.002979,0.424553,0.650597,0.061699,0.424563,1
0.017131,0.444577,0.885126,0.972049,0.444907,0
0.018371,0.439518,0.843087,0.85474,0.439902,0
0.003603,0.423965,0.63832,0.047428,0.423981,1
0.003087,0.424999,0.655361,0.066056,0.42501,1
0.003307,0.424185,0.650599,0.072164,0.424198,1
0.003024,0.423777,0.656926,0.06359,0.423788,1
0.016844,0.442285,0.863564,0.91511,0.442606,0
0.002841,0.42386,0.644194,0.085127,0.42387,1
0.003012,0.424943,0.642109,0.046068,0.424953,1
0.018383,0.444106,0.85996,0.887939,0.444486,0
0.003019,0.424771,0.647322,0.058416,0.424782,1
0.00382,0.424587,0.654479,0.066932,0.424604,1
0.003037,0.425079,0.648676,0.096512,0.42509,1
0.014784,0.44111,0.855934,0.909991,0.441358,0
0.003247,0.424624,0.659943,0.068582,0.424637,1
0.003354,0.424784,0.656452,0.094576,0.424797,1
0.016583,0.437603,0.819748,0.752851,0.437917,0
0.003391,0.425506,0.642442,0.046823,0.425519,1
0.002194,0.424021,0.649784,0.060599,0.424027,1
0.013966,0.444513,0.829516,0.865141,0.444732,0
0.003076,0.424706,0.660092,0.08297,0.424717,1
0.002956,0.424395,0.645677,0.047562,0.424405,1
0.003261,0.424348,0.650114,0.0853,0.42436,1
0.012866,0.442438,0.798901,0.773945,0.442625,0
0.003599,0.42445,0.648402,0.05331,0.424465,1
0.003575,0.423575,0.653504,0.070001,0.42359,1
0.017156,0.443634,0.839648,0.778866,0.443966,0
