mean,std,max,min,skewness,kurtosis,peak_to_peak,rms,pulse_rate,avg_systolic_amp,avg_diastolic_amp,reflection_index,augmentation_index,systolic_time,diastolic_time,Label
0.01557873,0.439010087,0.795916123,-0.910114504,-0.089414967,-1.427040089,1.706030627,0.439286414,98.7654321,0.762223512,-0.894905809,-1.174072689,2.174072689,0.7145,1.018,1
0.017504248,0.437568217,0.853140662,-0.930692575,-0.07433126,-1.423461472,1.783833237,0.437918192,89.41877794,0.811791856,-0.895362183,-1.10294551,2.10294551,0.832,1.011,1
0.014926634,0.441476142,0.828717882,-0.92991453,-0.076550634,-1.397658835,1.758632412,0.44172841,87.33624454,0.813915783,-0.917260164,-1.126971836,2.126971836,0.4955,0.7385,1
0.018500277,0.440926585,0.892737941,-0.946568867,-0.064738913,-1.458610345,1.839306808,0.441314529,77.56948933,0.82783119,-0.93580978,-1.130435518,2.130435518,0.531,0.966,1
0.014503332,0.440143985,0.86503089,-0.965542996,-0.048813617,-1.431592995,1.830573886,0.440382873,87.8477306,0.837332108,-0.909208885,-1.085840226,2.085840226,0.494,0.8335,1
0.013201136,0.440490287,0.832634948,-0.948390815,-0.059153545,-1.460497636,1.781025763,0.440688056,90.77155825,0.811943234,-0.920881672,-1.134170017,2.134170017,0.7685,1.009,1
0.01500747,0.441404267,0.838877819,-0.905404201,-0.040209828,-1.452170061,1.74428202,0.441659315,117.4168297,0.763253052,-0.88714768,-1.162324445,2.162324445,0.737666667,0.956333333,1
0.003612398,0.425175215,0.656645349,-0.66002845,-0.010524928,-1.492995036,1.316673799,0.42519056,78.94736842,0.643323301,-0.652762054,-1.014671864,2.014671864,0.326,0.899,1
0.003199639,0.425445964,0.651285369,-0.645922342,-0.014380559,-1.489224271,1.297207711,0.425457996,89.88764045,0.648088692,-0.639825335,-0.987249651,1.987249651,0.742,1.0755,1
0.003057056,0.425419398,0.652455757,-0.64868247,-0.013649622,-1.493280941,1.301138227,0.425430382,97.13977334,0.637185297,-0.640591015,-1.005344942,2.005344942,0.736333333,1.123333333,1
0.003702348,0.424495903,0.645950356,-0.650565787,-0.012290598,-1.492992016,1.296516143,0.424512048,89.61911875,0.638645226,-0.648135136,-1.014859439,2.014859439,0.5235,0.8095,1
0.017288976,0.445824073,0.831679223,-0.941604301,-0.086094832,-1.426883997,1.773283524,0.446159179,71.04795737,0.816240862,-0.933484858,-1.143638969,2.143638969,0.4795,0.685,0
0.002833136,0.424332759,0.665068994,-0.646708368,-0.018141751,-1.489667574,1.311777362,0.424342216,108.8270859,0.637667492,-0.63775502,-1.000137263,2.000137263,0.801,1.129333333,1
0.015437931,0.43917143,0.815730855,-0.93721957,-0.088122113,-1.40491857,1.752950425,0.439442687,78.2778865,0.810151673,-0.895896319,-1.105837768,2.105837768,0.5395,0.7635,0
0.003043024,0.424513015,0.664056644,-0.634173004,-0.00751168,-1.494513359,1.298229648,0.424523922,117.8781925,0.5498258,-0.630160905,-1.146110104,2.146110104,0.561,0.967666667,1
